Wavelength (microns),Irradiance (Watts/m^2/micron)
1.7475,1854000.0
1.7525,1874000.0
1.7575,1893000.0
1.7625,1844000.0
1.7675,1825000.0
1.7725,1766000.0
1.7775,1726000.0
1.7825,1707000.0
1.7875,1697000.0
1.7925,1687000.0
1.7975,1726000.0
1.8025,1687000.0
1.8075,1676999.9999999998
1.8125,1598999.9999999998
1.8175,1598999.9999999998
1.8225,1589000.0000000002
1.8275,1559000.0
1.8325,1559000.0
1.8375,1500000.0
1.8425,1530000.0
1.8475,1510000.0
1.8525,1480999.9999999998
1.8575,1451000.0
1.8625,1432000.0
1.8675,1432000.0
1.8725,1353000.0
1.8775,1353000.0
1.8825,1402000.0
1.8875,1383000.0
1.8925,1373000.0
1.8975,1383000.0
1.9025,1334000.0000000002
1.9075,1363000.0
1.9125,1383000.0
1.9175,1363000.0
1.9225,1343000.0
1.9275,1324000.0000000002
1.9325,1324000.0000000002
1.9375,1314000.0000000002
1.9425,1294000.0000000002
1.9475,1275000.0
1.9525,1265000.0
1.9575,1216000.0
1.9625,1255000.0
1.9675,1255000.0
1.9725,1245000.0
1.9775,1294000.0000000002
1.9825,1245000.0
1.9875,1225000.0
1.9925,1206000.0
1.9975,1225000.0
2.0025,1157000.0
2.0075,1098000.0
2.0125,1137000.0
2.0175,1118000.0
2.0225,1127000.0
2.0275,1127000.0
2.0325,1098000.0
2.0375,1068000.0
2.0425,1068000.0
2.0475,1078000.0
2.0525,1039000.0000000001
2.0575,1019000.0
2.0625,999800.0
2.0675,950800.0
2.0725,989900.0
2.0775,1009999.9999999999
2.0825,970299.9999999999
2.0875,960600.0000000001
2.0925,980000.0
2.0975,911400.0
2.1025,931000.0
2.1075,931000.0
2.1125,872300.0
2.1175,901600.0
2.1225,872199.9999999999
2.1275,872199.9999999999
2.1325,872199.9999999999
2.1375,852500.0000000001
2.1425,901499.9999999999
2.1475,823000.0
2.1525,813300.0
2.1575,793700.0000000001
2.1625,822900.0
2.1675,803600.0
2.1725,822900.0
2.1775,774000.0000000001
2.1825,754399.9999999999
2.1875,676100.0
2.1925,725000.0
2.1975,734799.9999999999
2.2025,822799.9999999999
2.2075,754399.9999999999
2.2125,754399.9999999999
2.2175,725000.0
2.2225,773900.0
2.2275,754399.9999999999
2.2325,754300.0000000001
2.2375,646600.0000000001
2.2425,597600.0
2.2475,715200.0
2.2525,754300.0000000001
2.2575,754300.0000000001
2.2625,705300.0
2.2675,715100.0
2.2725,646500.0
2.2775,636600.0000000001
2.2825,685600.0
2.2875,656299.9999999999
2.2925,656299.9999999999
2.2975,646400.0
2.3025,656299.9999999999
2.3075,626800.0
2.3125,617000.0000000001
2.3175,577900.0
2.3225,528900.0
2.3275,548500.0
2.3325,548500.0
2.3375,587600.0
2.3425,577800.0
2.3475,597400.0
2.3525,607100.0
2.3575,626700.0
2.3625,646299.9999999999
2.3675,607100.0
2.3725,607100.0
2.3775,568100.0
2.3825,548400.0000000001
2.3875,597300.0
2.3925,587500.0
2.3975,577800.0
2.4025,538500.0
2.4075,548300.0
2.4125,558200.0
2.4175,528800.0
2.4225,568000.0
2.4275,538500.0
2.4325,577700.0
2.4375,538500.0
2.4425,509200.0
2.4475,489500.0
2.4525,499300.0
2.4575,509200.0
2.4625,479700.0
2.4675,528700.0000000001
2.4725,479700.0
2.4775,528700.0000000001
2.4825,499300.0
2.4875,469899.99999999994
2.4925,538400.0000000001
2.4975,460200.00000000006
2.5025,482500.0
2.5075,479000.0
2.5125,475400.0
2.5175,472000.00000000006
2.5225,468600.0
2.5275,465200.00000000006
2.5325,461800.0
2.5375,458500.0
2.5425,455200.00000000006
2.5475,452000.0
2.5525,448700.0
2.5575,445500.0
2.5625,442200.0
2.5675,439000.0
2.5725,435899.99999999994
2.5775,432800.0
2.5825,429700.0
2.5875,426700.0
2.5925,423600.0
2.5975,420699.99999999994
2.6025,417700.0
2.6075,414800.00000000006
2.6125,411900.0
2.6175,409000.0
2.6225,406100.0
2.6275,403200.0
2.6325,400500.0
2.6375,397600.00000000006
2.6425,394800.0
2.6475,392200.0
2.6525,389600.0
2.6575,386800.0
2.6625,384100.0
2.6675,381500.00000000006
2.6725,378900.0
2.6775,376299.99999999994
2.6825,373799.99999999994
2.6875,371200.0
2.6925,368600.00000000006
2.6975,366000.0
2.7025,363600.00000000006
2.7075,361100.00000000006
2.7125,358700.0
2.7175,356300.0
2.7225,354000.0
2.7275,351500.0
2.7325,349100.00000000006
2.7375,346800.0
2.7425,344500.0
2.7475,342200.0
2.7525,339900.0
2.7575,337700.0
2.7625,335400.0
2.7675,333199.99999999994
2.7725,331100.0
2.7775,328800.0
2.7825,326700.00000000006
2.7875,324500.0
2.7925,322400.00000000006
2.7975,320400.0
2.8025,318200.0
2.8075,316200.0
2.8125,314200.00000000006
2.8175,312100.0
