wavelength (nm),c_extinction,c_scattering,kappa,g,P_max,Thetmax
7900.0,5.4615,3.3356,2.2892e+16,0.6002,0.85641,99.0
8000.0,5.2024,3.222,2.1807e+16,0.59391,0.86469,99.0
8100.0,4.9124,3.0895,2.0591e+16,0.58751,0.87381,99.0
8200.0,4.6142,2.9326,1.9341e+16,0.58098,0.88393,99.0
8300.0,4.3467,2.7594,1.822e+16,0.57438,0.89449,99.0
8400.0,4.1682,2.5856,1.7471e+16,0.5678,0.9048,98.0
8500.0,4.0259,2.4287,1.6875e+16,0.5612,0.91379,98.0
8600.0,3.8822,2.2928,1.6273e+16,0.55458,0.92137,98.0
8700.0,3.7482,2.1633,1.5711e+16,0.5479,0.92829,98.0
8800.0,3.6252,2.0381,1.5195e+16,0.54117,0.93491,97.0
8900.0,3.5138,1.9187,1.4729e+16,0.5344,0.94095,97.0
9000.0,3.4133,1.806,1.4307e+16,0.52761,0.94638,97.0
9100.0,3.319,1.6994,1.3912e+16,0.52079,0.95126,97.0
9200.0,3.218,1.5963,1.3489e+16,0.51391,0.95594,96.0
9300.0,3.1089,1.4949,1.3031e+16,0.50696,0.96034,96.0
9400.0,2.9998,1.3966,1.2574e+16,0.49997,0.96436,96.0
9500.0,2.8869,1.2958,1.2101e+16,0.49286,0.96818,96.0
9600.0,2.7633,1.1871,1.1583e+16,0.48552,0.97219,95.0
9700.0,2.6415,1.0771,1.1072e+16,0.47804,0.97597,95.0
9800.0,2.531,0.96876,1.0609e+16,0.47045,0.97934,95.0
9900.0,2.4439,0.85734,1.0244e+16,0.46264,0.98261,94.0
10000.0,2.4001,0.74431,1.006e+16,0.45459,0.98564,94.0
10100.0,2.4183,0.63893,1.0137e+16,0.44645,0.988,93.0
10200.0,2.5097,0.54595,1.0519e+16,0.43828,0.99008,93.0
10300.0,2.6473,0.46382,1.1097e+16,0.42997,0.9915,93.0
10400.0,2.8606,0.39875,1.199e+16,0.42162,0.99259,92.0
10500.0,3.1993,0.35797,1.341e+16,0.41324,0.99294,92.0
10600.0,3.6816,0.35421,1.5432e+16,0.40514,0.99266,91.0
10700.0,4.2918,0.39268,1.799e+16,0.3976,0.99158,91.0
10800.0,4.9854,0.47047,2.0897e+16,0.39084,0.98972,90.0
